model_name,display_name,threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1_score,val_roc_auc,val_TP,val_FP,val_TN,val_FN
resnet50,ResNet50,0.36,0.7777777777777778,0.42857142857142855,0.8130841121495327,0.7702970297029703,0.5612903225806452,0.8727491440732859,87,116,389,20
resnet50,ResNet50,0.37,0.7826797385620915,0.43434343434343436,0.8037383177570093,0.7782178217821782,0.5639344262295082,0.8727491440732859,86,112,393,21
resnet50,ResNet50,0.38,0.7875816993464052,0.44041450777202074,0.794392523364486,0.7861386138613862,0.5666666666666667,0.8727491440732859,85,108,397,22
resnet50,ResNet50,0.39,0.7941176470588235,0.44919786096256686,0.7850467289719626,0.7960396039603961,0.5714285714285714,0.8727491440732859,84,103,402,23
resnet50,ResNet50,0.4,0.8022875816993464,0.46153846153846156,0.7850467289719626,0.805940594059406,0.5813148788927336,0.8727491440732859,84,98,407,23
resnet50,ResNet50,0.41,0.8104575163398693,0.4745762711864407,0.7850467289719626,0.8158415841584158,0.5915492957746479,0.8727491440732859,84,93,412,23
resnet50,ResNet50,0.42,0.8137254901960784,0.47953216374269003,0.7663551401869159,0.8237623762376237,0.5899280575539568,0.8727491440732859,82,89,416,25
resnet50,ResNet50,0.43,0.8169934640522876,0.48502994011976047,0.7570093457943925,0.8297029702970297,0.5912408759124088,0.8727491440732859,81,86,419,26
resnet50,ResNet50,0.44,0.8218954248366013,0.49390243902439024,0.7570093457943925,0.8356435643564356,0.5977859778597786,0.8727491440732859,81,83,422,26
resnet50,ResNet50,0.45,0.8284313725490197,0.50625,0.7570093457943925,0.8435643564356435,0.6067415730337079,0.8727491440732859,81,79,426,26
resnet50,ResNet50,0.46,0.8366013071895425,0.5231788079470199,0.7383177570093458,0.8574257425742574,0.6124031007751938,0.8727491440732859,79,72,433,28
resnet50,ResNet50,0.47,0.8447712418300654,0.541095890410959,0.7383177570093458,0.8673267326732673,0.6245059288537549,0.8727491440732859,79,67,438,28
resnet50,ResNet50,0.48,0.8480392156862745,0.5492957746478874,0.7289719626168224,0.8732673267326733,0.6265060240963856,0.8727491440732859,78,64,441,29
resnet50,ResNet50,0.49,0.8496732026143791,0.5531914893617021,0.7289719626168224,0.8752475247524752,0.6290322580645161,0.8727491440732859,78,63,442,29
resnet50,ResNet50,0.5,0.8513071895424836,0.5579710144927537,0.719626168224299,0.8792079207920792,0.6285714285714286,0.8727491440732859,77,61,444,30
resnet50,ResNet50,0.51,0.8611111111111112,0.5833333333333334,0.719626168224299,0.8910891089108911,0.6443514644351465,0.8727491440732859,77,55,450,30
resnet50,ResNet50,0.52,0.8627450980392157,0.5891472868217055,0.7102803738317757,0.8950495049504951,0.6440677966101694,0.8727491440732859,76,53,452,31
resnet50,ResNet50,0.53,0.8660130718954249,0.5984251968503937,0.7102803738317757,0.899009900990099,0.6495726495726496,0.8727491440732859,76,51,454,31
resnet50,ResNet50,0.54,0.8741830065359477,0.6229508196721312,0.7102803738317757,0.9089108910891089,0.6637554585152838,0.8727491440732859,76,46,459,31
resnet50,ResNet50,0.55,0.8790849673202614,0.6410256410256411,0.7009345794392523,0.9168316831683169,0.6696428571428571,0.8727491440732859,75,42,463,32
resnet50,ResNet50,0.56,0.880718954248366,0.6517857142857143,0.6822429906542056,0.9227722772277228,0.6666666666666666,0.8727491440732859,73,39,466,34
resnet50,ResNet50,0.57,0.8839869281045751,0.6636363636363637,0.6822429906542056,0.9267326732673268,0.6728110599078341,0.8727491440732859,73,37,468,34
resnet50,ResNet50,0.58,0.880718954248366,0.6574074074074074,0.6635514018691588,0.9267326732673268,0.6604651162790698,0.8727491440732859,71,37,468,36
resnet50,ResNet50,0.59,0.880718954248366,0.6574074074074074,0.6635514018691588,0.9267326732673268,0.6604651162790698,0.8727491440732859,71,37,468,36
resnet50,ResNet50,0.6,0.8823529411764706,0.6635514018691588,0.6635514018691588,0.9287128712871288,0.6635514018691588,0.8727491440732859,71,36,469,36
resnet50,ResNet50,0.61,0.880718954248366,0.660377358490566,0.6542056074766355,0.9287128712871288,0.6572769953051644,0.8727491440732859,70,36,469,37
resnet50,ResNet50,0.62,0.880718954248366,0.6666666666666666,0.6355140186915887,0.9326732673267327,0.6507177033492823,0.8727491440732859,68,34,471,39
resnet50,ResNet50,0.63,0.880718954248366,0.67,0.6261682242990654,0.9346534653465347,0.6473429951690821,0.8727491440732859,67,33,472,40
resnet50,ResNet50,0.64,0.880718954248366,0.673469387755102,0.616822429906542,0.9366336633663367,0.6439024390243903,0.8727491440732859,66,32,473,41
resnet50,ResNet50,0.65,0.8823529411764706,0.6842105263157895,0.6074766355140186,0.9405940594059405,0.6435643564356436,0.8727491440732859,65,30,475,42
resnet50,ResNet50,0.66,0.8856209150326797,0.6989247311827957,0.6074766355140186,0.9445544554455445,0.65,0.8727491440732859,65,28,477,42
resnet50,ResNet50,0.67,0.8839869281045751,0.6956521739130435,0.5981308411214953,0.9445544554455445,0.6432160804020101,0.8727491440732859,64,28,477,43
resnet50,ResNet50,0.68,0.8872549019607843,0.7159090909090909,0.5887850467289719,0.9504950495049505,0.6461538461538462,0.8727491440732859,63,25,480,44
resnet50,ResNet50,0.69,0.8856209150326797,0.7126436781609196,0.5794392523364486,0.9504950495049505,0.6391752577319587,0.8727491440732859,62,25,480,45
resnet50,ResNet50,0.7,0.8839869281045751,0.7093023255813954,0.5700934579439252,0.9504950495049505,0.6321243523316062,0.8727491440732859,61,25,480,46
resnet50,ResNet50,0.71,0.8839869281045751,0.7195121951219512,0.5514018691588785,0.9544554455445544,0.6243386243386243,0.8727491440732859,59,23,482,48
resnet50,ResNet50,0.72,0.8823529411764706,0.7272727272727273,0.5233644859813084,0.9584158415841584,0.6086956521739131,0.8727491440732859,56,21,484,51
